X (mg);Y (mg);Z (mg)
11;-14;0
4;-8;5
2;-4;6
1;6;4
-2;21;7
-4;20;6
-4;14;9
-5;5;11
-10;-6;15
-14;-14;17
-15;-11;17
-9;-3;19
-10;0;21
-11;-6;19
-17;-8;19
-18;-16;19
-16;-16;21
-9;-18;22
-4;-18;21
1;-14;26
10;-11;29
19;-8;33
17;3;36
10;8;32
9;16;31
10;14;28
17;-1;26
18;-10;27
22;-7;29
34;-10;34
53;-19;40
80;-26;46
104;-34;66
102;-52;84
109;-65;61
105;-70;94
113;-73;100
123;-80;100
134;-87;99
142;-85;100
147;-80;104
148;-68;104
150;-64;112
146;-70;113
141;-88;109
141;-102;101
145;-108;86
154;-107;67
161;-104;51
161;-96;34
160;-88;29
164;-83;34
175;-85;39
188;-89;50
203;-95;57
215;-96;64
229;-79;76
243;-52;66
256;-23;54
278;5;31
300;26;7
318;34;-15
330;30;-37
344;4;-56
355;-29;-70
370;-56;-81
390;-83;-85
435;-105;-116
494;-115;-130
558;-112;-158
616;-86;-163
652;-44;-146
665;17;-145
655;94;-141
621;155;-128
589;218;-125
551;294;-119
514;359;-117
479;401;-107
453;404;-99
429;392;-76
408;386;-35
385;365;26
365;350;100
339;344;185
297;328;262
240;292;334
178;245;427
120;201;458
68;179;458
18;181;479
-34;197;480
-89;220;496
-155;230;478
-221;229;489
-287;260;514
-338;265;477
-354;200;419
-336;180;286
-288;137;130
-213;89;62
-147;85;45
-118;58;94
-92;55;224
-69;97;313
-41;117;480
-55;173;629
-89;210;711
-97;214;809
-78;241;790
-31;234;742
-4;233;696
-5;240;631
-25;201;587
-64;144;571
-40;70;400
-9;10;274
-24;0;227
-37;108;117
-25;185;54
-5;233;2
14;204;-31
14;178;-35
-22;202;18
-65;51;106
-121;-209;126
-193;-197;73
-192;76;-87
-150;180;-165
-71;47;-213
-14;-11;-255
-79;-112;-187
-82;-297;-254
-23;-334;-339
66;-230;-479
116;-139;-503
90;-58;-360
87;-41;-248
185;-22;-294
242;-30;-284
249;-50;-332
229;-19;-365
180;54;-310
143;141;-208
139;231;-48
108;318;158
59;373;293
9;257;335
-34;70;292
-76;-35;234
-79;-53;213
-70;-114;199
-82;-173;195
-117;-209;255
-156;-221;296
-161;-153;280
-172;-42;336
-168;71;312
-143;201;251
-80;323;170
-12;423;-43
-32;374;145
-52;-410;577
286;-435;250
305;195;10
116;354;24
117;231;4
207;115;-52
225;49;-67
169;26;-55
124;0;-81
127;50;-125
136;100;-166
189;188;-212
239;197;-184
231;78;-81
157;9;30
37;69;109
-64;171;165
-117;259;284
-99;105;240
-95;-57;199
-130;-184;200
-176;-268;166
-230;-290;148
-267;-266;177
-286;-271;249
-326;-338;302
-331;-406;343
-312;-386;346
-298;-111;216
-205;186;134
-72;219;99
13;112;22
56;58;-101
108;66;-133
129;-22;-102
126;-103;-96
160;-57;-76
234;25;-10
253;65;-28
219;319;-41
180;272;-61
169;302;-43
119;197;-31
40;231;-16
-20;122;-59
-55;-48;-137
-40;-252;-206
-15;-284;-286
4;-281;-298
36;-129;-314
97;55;-293
153;80;-207
152;2;-136
113;-13;-127
84;-1;-141
80;6;-146
79;-3;-163
69;-19;-167
21;-34;-131
-44;26;-100
-66;45;-69
-72;-15;-57
-85;-24;-108
-47;-12;-209
9;5;-352
75;-52;-460
107;-140;-489
76;-156;-473
25;-134;-398
-46;-94;-274
-140;-49;-120
-242;2;57
-319;29;249
-380;64;267
-398;94;272
-374;74;300
-277;38;251
-203;45;296
-191;71;395
-193;77;497
-153;48;615
-112;35;771
-89;34;842
-75;74;696
-53;120;307
68;-17;-121
176;-166;-331
208;-138;-415
216;75;-318
189;232;-36
165;286;263
148;260;335
131;184;290
77;84;215
41;15;88
30;11;-16
2;20;-8
-39;29;64
-43;140;100
-24;181;114
20;129;3
68;41;-202
97;-38;-327
122;-87;-311
117;-96;-203
75;-28;-68
53;56;-11
35;26;-19
8;-22;-44
-6;-58;-48
31;-36;-48
30;32;-26
58;32;-21
91;57;-26
69;54;4
22;50;20
-14;92;-6
-35;82;10
-13;-15;4
0;-35;21
-18;22;-33
-35;29;-29
-55;5;-9
-91;4;5
-116;16;14
-99;-23;16
-70;30;-9
-67;47;-37
-68;-22;46
25;-91;160
169;-11;83
114;38;-20
11;-87;45
75;-142;106
109;-32;71
102;101;-65
90;39;-79
47;-4;-54
