X (mg);Y (mg);Z (mg)
-15;99;51
-27;106;57
-35;94;52
-30;71;42
-22;67;37
-14;38;30
-23;12;17
-25;-9;1
-16;-31;-12
-7;-61;-37
0;-74;-49
-1;-62;-48
2;-54;-46
15;-55;-43
38;-56;-31
81;-51;-11
115;-30;32
70;8;77
69;-24;115
119;-106;164
161;-162;222
163;-205;263
158;-265;282
168;-292;276
201;-262;262
238;-159;281
259;-31;320
262;60;328
266;76;342
299;46;320
288;-40;338
293;-124;328
302;-199;316
323;-252;309
346;-264;306
368;-242;303
394;-194;309
419;-160;302
438;-128;280
440;-98;272
431;-77;277
417;-48;260
389;-2;262
349;25;290
308;24;288
257;22;313
199;-24;349
171;-43;325
138;-20;328
115;-21;347
101;-59;370
89;-102;388
75;-113;404
60;-116;422
72;-62;392
89;69;419
66;169;568
49;206;589
62;217;492
67;220;432
16;203;404
-36;102;403
-57;-90;417
-50;-214;387
-38;-241;367
-46;-131;382
-42;6;394
-22;158;398
0;305;360
8;392;285
-19;420;210
-78;417;160
-156;367;128
-214;283;105
-238;224;72
-228;208;47
-195;235;51
-142;285;64
-85;275;88
-39;279;108
-1;420;73
40;667;-18
81;906;-110
99;1044;-160
94;1039;-173
58;923;-171
20;747;-148
-4;557;-102
-8;392;-63
-14;265;22
-14;180;70
-1;159;87
21;164;96
47;192;98
44;238;79
27;286;4
-6;313;-26
-49;334;-89
-69;342;-124
-60;305;-144
-36;230;-138
-11;126;-113
-1;5;-82
3;-69;-54
5;-60;-8
2;-44;27
-2;-16;38
-3;24;26
4;32;-13
11;13;-36
23;-46;-32
40;-110;-3
58;-156;39
79;-180;79
91;-127;94
96;-59;94
116;-29;101
137;-1;133
143;-9;168
134;-36;194
126;-96;308
144;-103;219
168;-30;125
200;3;98
200;-18;-18
129;-63;123
104;-46;120
85;55;99
124;62;96
155;50;39
161;59;47
147;103;110
108;96;110
112;68;-9
129;-20;-24
118;-82;-24
136;-110;-74
173;-106;-76
166;-119;-23
166;-120;2
208;-128;-29
244;-154;-71
255;-198;-187
274;-200;-254
289;-110;-274
255;-1;-236
163;55;-182
73;112;-106
33;166;4
75;193;58
184;137;106
305;-4;150
373;-152;195
349;-249;257
253;-225;290
161;-121;299
124;-34;287
138;21;267
164;67;262
173;113;250
167;141;218
156;195;167
145;263;93
125;270;17
100;189;-36
100;67;-64
122;-2;-41
145;-42;-7
151;-29;-6
127;68;-20
77;202;0
35;255;16
13;196;20
31;124;9
67;78;31
96;44;70
103;23;70
99;53;29
101;126;-13
122;177;-59
160;184;-73
197;184;-75
217;169;-90
207;107;-58
186;83;-40
181;109;-34
198;143;-94
226;188;-169
233;249;-169
207;250;-113
149;190;-80
92;165;-78
56;198;-106
53;205;-165
50;195;-170
34;225;-172
7;228;-209
-24;155;-208
-39;74;-162
-21;84;-96
36;132;-76
97;123;-111
127;140;-180
125;171;-116
109;139;-29
113;94;65
129;138;118
148;161;125
156;83;41
139;89;-50
111;39;4
85;-41;114
59;-110;223
22;-69;243
-24;-27;240
-52;3;218
-35;43;211
27;-91;210
68;-238;214
43;-280;215
-20;-264;201
-95;-204;205
-159;-159;229
-195;-197;276
-206;-250;267
-182;-275;235
-142;-316;287
-111;-380;310
-85;-467;272
-77;-479;260
-79;-491;228
-75;-550;125
-75;-548;11
-82;-528;-106
-105;-552;-100
-134;-608;-18
-179;-603;59
-210;-623;139
-216;-649;233
-146;-611;271
20;-585;168
202;-521;102
353;-415;48
415;-300;-11
367;-192;-72
235;-167;-90
95;-138;-61
48;25;-27
106;276;-56
196;494;-176
264;820;-473
317;1039;-783
262;841;-742
112;421;-375
-19;54;31
-73;-239;232
-57;-426;201
-5;-466;136
38;-416;121
47;-380;110
14;-319;142
-15;-200;37
2;-224;-2
2;-146;-32
29;-16;-121
33;129;-132
-22;268;25
-53;267;5
-6;236;-113
70;307;-100
83;359;-88
-2;162;-62
-91;-77;2
-102;-239;86
-40;-303;91
32;-226;32
54;-85;-2
45;-23;2
36;-33;27
56;-46;32
105;-51;-23
150;1;-136
136;68;-184
74;64;-156
29;20;-93
33;-10;-49
45;-9;-4
51;-4;11
58;-1;1
51;-12;38
73;-33;-8
80;-72;-67
19;-69;-115
-65;-42;-116
-99;-10;-49
-78;-21;-52
-13;-26;-65
23;13;-11
15;92;45
-13;110;43
-17;71;26
-4;43;-11
1;13;-10
-8;-15;0
-22;-28;22
-37;-44;39
-36;-55;41
-25;-47;45
-16;-24;48
-11;-17;62
-5;-35;72
-4;-54;66
2;-45;43
10;14;22
2;80;11
-3;97;-18
-1;100;-42
-4;90;-63
-8;48;-52
-24;13;-1
-38;-25;28
-31;-57;9
-12;-46;1
-3;-3;23
-22;31;28
-40;16;19
-45;24;4
-49;25;-7
-64;1;3
-77;-57;4
-73;-94;15
-60;-104;31
-52;-102;33
-31;-61;-22
-2;-3;-60
8;47;-41
6;60;-30
-3;19;7
-8;-39;37
4;-64;77
33;-41;59
51;6;20
47;41;-9
31;82;-76
15;68;-102
9;12;-127
5;-42;-107
13;-45;-73
25;-38;-26
48;-21;23
80;46;20
115;81;-26
133;97;-79
131;124;-97
121;109;-129
115;38;-138
107;-27;-126
107;-42;-119
126;-23;-129
150;3;-146
165;32;-142
166;53;-118
159;59;-127
157;46;-92
158;-13;-90
144;-91;-144
126;-143;-170
106;-136;-183
94;-127;-173
92;-132;-172
105;-122;-159
119;-73;-105
126;-73;-79
125;-151;-103
107;-180;-122
69;-162;-124
22;-209;-21
-35;-273;107
-82;-298;139
-87;-356;185
-55;-396;227
-5;-345;220
37;-266;199
51;-194;189
38;-88;209
18;-9;273
2;-39;295
1;-126;278
11;-219;317
22;-250;294
39;-190;238
51;-83;197
55;-26;147
40;4;160
3;51;196
-23;45;195
-30;-4;237
-30;-27;283
-18;-87;249
11;-114;199
32;-11;147
49;85;52
50;108;13
19;112;13
-15;86;-2
-35;34;55
-41;-33;102
-25;-63;79
-2;-25;40
28;75;6
43;167;-25
37;226;-53
13;246;-54
