mean_x;mean_y;mean_z;var_x;var_y;var_z;peak_to_peak_x;peak_to_peak_y;peak_to_peak_z;zero_crossings_x;zero_crossings_y;zero_crossings_z;Activity
78.45;-37.65;46.0;7320.81;1641.29;1117.63;296;129;113;2;7;1;JumpingJack
152.85;155.85;213.53;87711.53;19665.76;87770.88;1019;519;972;1;4;2;JumpingJack
32.72;41.73;-5.35;19004.6;38135.5;55380.13;498;858;1080;6;10;8;JumpingJack
-44.4;-27.58;-35.42;30123.51;26574.44;47526.41;651;725;835;6;14;2;JumpingJack
23.83;30.17;54.33;8928.34;7687.51;60044.59;409;452;1257;9;15;15;JumpingJack
-7.13;1.0;26.85;6184.98;8411.83;11872.73;313;397;562;9;13;13;JumpingJack
-20.83;13.38;-4.12;2039.41;1226.3;1116.04;179;173;164;8;8;20;JumpingJack
29.93;-9.83;-1.9;700.33;922.34;387.56;122;153;88;6;14;26;JumpingJack
-79.73;23.98;-10.52;4952.76;1176.65;1259.15;272;135;171;4;22;16;JumpingJack
81.85;-33.38;35.2;4084.46;3855.74;5233.09;215;249;326;8;9;13;JumpingJack
73.53;-16.23;33.82;19219.68;12938.08;8897.78;679;627;444;14;17;13;JumpingJack
-10.53;8.83;-4.52;7375.52;6723.84;5853.68;469;359;411;21;16;20;JumpingJack
-20.82;-11.38;1.57;23738.62;43933.74;42220.41;1000;1435;1420;15;15;17;JumpingJack
-13.55;2.95;5.43;733.41;648.91;439.28;123;110;87;10;16;13;JumpingJack
-41.78;15.98;-9.93;851.04;914.45;403.26;120;150;110;4;15;20;JumpingJack
-35.55;20.07;-34.92;2960.71;2648.13;973.08;255;221;146;10;16;10;JumpingJack
96.75;-40.22;46.73;4265.39;4466.77;6175.06;297;282;312;6;16;7;JumpingJack
65.92;-13.55;9.72;51258.94;9565.58;17396.27;938;461;710;16;21;15;JumpingJack
-11.2;9.25;-20.42;9564.19;4732.22;2876.34;503;301;243;18;16;18;JumpingJack
-18.72;-5.65;-3.12;2420.74;2265.76;523.54;222;258;127;15;14;22;JumpingJack
-13.78;6.83;-7.72;543.34;376.77;256.44;109;95;97;14;17;16;JumpingJack
-56.5;24.62;-22.03;2103.98;3269.1;1823.03;198;241;216;6;11;16;JumpingJack
46.02;-12.13;-25.17;9837.52;3930.05;3212.91;374;305;256;15;17;9;JumpingJack
81.55;-27.72;55.2;21888.28;24719.97;10172.29;831;854;478;9;17;11;JumpingJack
15.67;0.08;-14.98;40177.42;22633.61;34329.05;1060;870;896;16;19;18;JumpingJack
-8.98;2.38;-15.82;2009.55;2266.64;1978.25;226;209;213;17;17;19;JumpingJack
-8.1;0.13;-6.37;721.82;299.62;241.0;119;76;75;16;17;21;JumpingJack
-28.57;9.28;-14.9;790.55;390.14;539.76;122;82;116;14;18;12;JumpingJack
-31.47;15.93;-27.35;1480.02;1682.33;1139.93;179;182;141;12;20;18;JumpingJack
63.85;-15.77;-10.6;9112.36;4043.11;3568.17;412;271;266;15;25;13;JumpingJack
79.45;-31.15;48.02;25858.71;9744.19;10634.12;727;451;460;15;15;12;JumpingJack
-1.07;5.52;-26.45;9847.1;5731.12;4201.11;450;386;298;14;24;18;JumpingJack
-12.05;3.77;-18.92;7730.55;8083.58;7638.44;384;428;564;12;16;19;JumpingJack
-9.0;-3.13;-4.22;13017.8;12352.55;12896.24;647;685;699;11;11;12;JumpingJack
-50.03;16.02;-13.87;2494.27;1542.62;1005.75;197;163;189;4;14;21;JumpingJack
-25.07;12.98;-50.05;5128.46;5906.05;1437.71;312;344;152;13;14;14;JumpingJack
112.33;-38.87;54.52;7792.56;6018.78;8290.45;386;335;370;6;17;13;JumpingJack
49.67;-0.3;-4.63;58951.26;26205.28;21464.33;1025;705;673;16;21;22;JumpingJack
-20.55;-7.95;-20.58;10660.18;6350.25;5355.01;605;444;368;15;17;15;JumpingJack
-6.28;-4.88;-8.35;11133.54;11918.1;8577.33;612;610;499;10;15;15;JumpingJack
1.63;1.5;-7.47;422.13;465.38;302.02;80;83;78;14;14;18;JumpingJack
-31.25;16.85;-15.83;1493.95;1475.63;581.24;177;210;108;7;10;15;JumpingJack
-32.83;18.6;-42.78;3036.97;4021.84;1966.37;221;342;221;15;21;15;JumpingJack
88.78;-30.35;8.03;6612.8;9206.66;5559.93;312;389;353;10;20;17;JumpingJack
16.45;-3.32;14.35;3837.08;11175.15;3884.36;276;479;291;16;13;23;JumpingJack
68.67;-12.98;0.1;10213.79;12880.05;9697.36;464;583;475;16;21;15;JumpingJack
-24.53;-0.37;-21.97;6227.98;4301.07;3275.13;411;337;360;17;19;17;JumpingJack
0.72;-2.72;-11.23;2236.37;3152.07;1460.85;265;265;201;22;11;29;JumpingJack
-7.0;3.75;-10.8;1003.47;452.75;640.33;158;103;121;21;17;18;JumpingJack
-64.37;28.7;-24.75;2704.8;1963.28;3476.35;233;217;287;8;13;17;JumpingJack
37.43;-3.05;-38.9;12613.48;7490.91;5482.69;473;393;321;11;17;19;JumpingJack
101.03;-52.17;38.28;4903.27;7388.74;2852.7;297;393;241;4;12;14;JumpingJack
12.4;5.83;-22.47;37330.41;8989.27;9649.95;761;413;500;19;19;22;JumpingJack
-12.65;1.37;-18.33;4320.16;2254.8;1898.52;351;252;203;16;14;15;JumpingJack
-1.28;2.15;-13.07;2390.2;1161.49;1360.76;213;154;187;17;15;19;JumpingJack
9.55;-0.3;-8.32;1180.78;1285.94;514.55;158;166;108;13;16;21;JumpingJack
-20.4;13.25;-11.72;1598.01;461.02;528.84;229;112;113;21;16;12;JumpingJack
-66.8;31.73;-41.22;4996.13;3455.46;3214.44;298;284;225;6;11;13;JumpingJack
106.37;-40.63;8.07;12864.77;12387.63;10152.1;506;557;545;11;14;14;JumpingJack
83.52;-16.4;13.05;17907.18;10834.71;12823.01;649;502;546;12;19;15;JumpingJack
-20.23;11.68;-26.72;12483.88;9245.35;9765.1;573;456;459;22;18;21;JumpingJack
